 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Imunobiológicos e Unidade da Federação
Período:1994-2018
"Imunobiológicos";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Varicela";25341;28370;206147;67116;66555;18001;40265;198077;88243;364946;79883;136764;317279;121934;71249;359727;878279;209478;564888;2991907;288354;196630;198261;142238;69716;146063;96155;7971866
"Dupla Adulto (dT)";3490117;1716422;8167926;1170017;16823754;1209475;3341651;12862000;4853160;12549290;4880298;5663855;18909030;6429566;3576843;25382580;30323446;7216606;28832766;65968551;18283730;11500427;14622989;4691907;6674912;18923312;4237525;342302155
"Dupla Infantil (DT)";652;512;10002;86;2854;25;511;10874;4401;37748;12281;693;2016;2203;84;26854;11441;1044;6490;15286;3055;642;1233;2593;3025;1854;764;159223
"Dupla Viral (rotina) (SR)";59947;17191;159729;28815;183372;14825;38419;92128;150310;1920954;74466;98411;235361;79189;16658;733672;277296;47493;621699;374559;123911;128316;396304;109431;79868;121178;6644;6190146
"Dupla Viral (mulheres idade fértil) (SR)";40684;45832;184313;83778;1764425;69993;307299;414425;860452;926567;64883;186635;327480;75541;370400;3543066;396199;111957;775282;3362078;217574;1212852;1329728;556090;364005;303695;11796;17907029
"Dupla Viral (mulheres idade fértil campanha) (SR)";271811;122435;585962;56155;1203654;108126;216671;918946;499322;1396388;494232;597461;1494982;495991;363415;2702088;3028399;591220;2269159;6733101;1651689;982964;1640971;381657;452469;1045183;462379;30766830
"Dupla Viral (homens) (SR)";7730;9308;64379;3725;89470;1511;6564;81452;24457;165030;2886;28546;40851;3103;609;181893;42893;9554;47655;56803;45390;6448;42080;8983;34048;43428;2768;1051564
"Dupla Viral (homens campanha) (SR)";255827;105250;491529;52604;1158461;99386;208573;853422;440739;1188622;444092;524336;1313325;443161;309309;2450742;2883126;560838;2082628;6438671;1569540;980014;1501220;360196;447004;959155;428507;28550277
"Hexavalente (HX)";720;10;2903;373;5154;23;14;2872;495;16505;2579;254;3329;4831;271;9964;15082;10235;37053;227221;30147;24081;23693;7788;4195;21880;19544;471216
"Poliomielite inativada (VIP)";192656;141671;606095;65344;1127676;95949;234688;838472;367010;1055170;283486;480171;888084;348464;247515;1270710;2347901;405349;1585521;4321578;1474635;752594;1291661;387280;423135;863379;258310;22354504
"Meningocócica Conjugada - C (MncC)";664534;320413;1728504;239012;2652943;312177;585869;2473047;1058307;3387848;1029431;1276751;3360470;1198668;798869;5725226;7512180;1371134;5318996;15460921;3982892;2342738;3293209;1112457;1253435;2359940;1104265;71924236
"Oral Poliomielite (VOP)";2640585;1806750;6985968;918374;15970982;1272069;2340952;14451850;4769953;14775822;4130144;6674991;15671637;5132641;3251868;25297395;24429362;4748079;18824782;52484253;12943782;7646350;11996142;3453029;6903226;8362049;3358283;281241318
"Oral Poliomielite 1ª etapa campanha  (VOP)";2474237;1286558;5468868;853639;12724171;1071322;2065556;10308790;5068682;12200312;4797102;5041906;14875665;5442508;3536078;22014083;25528849;5165425;18268059;49236632;13386295;7609158;14431603;3642794;4178182;9025044;3253554;262955072
"Oral Poliomielite 2ª etapa campanha  (VOP)";2459767;1291185;5049391;778613;12705068;932830;1962704;10493819;5567480;12490548;4316963;5251669;14188377;5034506;3422320;19760248;23282646;4876997;17196551;48629127;11794048;7262144;13682471;3223580;3894857;8452409;2989556;250989874
"Oral de Rotavírus Humano (VORH)";623575;308926;1464867;210721;2598768;303270;555163;2482850;1054202;3051500;999832;1315108;3300082;1130358;799353;4336776;6049729;1246812;4950465;13435742;3504250;2064357;2997223;1007597;1123838;2039214;1008757;63963335
"Pentavalente (DTP+HB+Hib) (PENTA)";503945;256232;1379017;186259;2054096;250320;439737;1954860;741305;2383652;727935;961500;2480648;903966;559040;3087054;4444615;965253;4029083;9935171;2688655;1624422;2407028;812637;927443;1663092;765937;49132902
"Pneumocócica 10valente";797821;366759;1930578;280362;3021662;364316;714406;2793433;1241496;3767919;1249515;1580657;4127282;1403354;990594;5248841;7801864;1647748;5942547;17335467;4543860;2764620;3763866;1338528;1432087;2613279;1213914;80276775
"Pneumocócica Conjugada 7 Valente (Pnc7)";1601;3566;8254;1243;16001;1031;2891;7902;2684;1772;6402;5589;2244;359;3095;19857;89616;20101;70932;675065;60429;63545;49252;13580;8188;68311;54271;1257781
"Pneumocócica Polissacarídica 23 Valente (Pn23)";23692;29849;161969;80749;76672;8468;19305;44372;21590;29611;21784;23680;139873;17837;21644;153504;447747;99636;249665;1949364;209414;222857;178163;142319;51248;92223;258451;4775686
"Pneumocócica 13 valente";1539;30;5733;211;9947;-;9;9673;53;43684;6054;424;8260;7245;173;7005;22695;17846;85778;619112;60562;37662;33809;14721;6594;47821;42110;1088750
"Tetravalente (DTP/Hib) (TETRA)";902527;525241;2273634;300466;4800958;484828;812019;4254623;1644157;4427860;1596394;2002030;4916165;1885598;1154258;7470389;8537234;1709874;6802826;18509315;4763763;2613082;4216746;1272768;1603290;2825417;1345795;93651257
"Toxóide Tetânico";782746;441930;1053026;252236;2421703;185448;695303;2895260;1000855;3148676;1026874;961399;1549041;1106935;401292;5096299;217577;629606;621561;83076;354010;992860;1116551;607319;1044123;1925522;16149;30627377
"Tríplice Acelular (DTPa)";40027;10887;100876;12075;88747;14739;24787;141462;42135;187738;54831;60402;231531;59026;41147;259333;367026;97088;294537;1834014;212135;169649;177179;71650;69751;138810;120328;4921910
"Tríplice Bacteriana (DTP)";2071589;1059587;4867695;646148;9981195;874703;1576626;9554519;3517774;10076245;3088907;3909343;11239443;3569135;2272410;16911160;16708076;3642171;14256476;34423508;9473220;6551770;8977275;2320333;3468038;5780378;2386442;193204166
"Tríplice Viral (SCR)";1044077;597719;3174654;553357;5627030;497240;1090293;5996009;1983113;6607397;2201830;3415876;6634394;2103200;1806566;10916044;12546998;2527005;9681774;28507519;6817707;4010552;5783185;1878799;2632318;4398205;1899924;134932785
"Tríplice Viral (campanha) (SCR)";128326;54164;226363;35605;599704;56465;113896;542615;237559;665603;216243;273475;653562;255279;160997;1063491;1285063;244036;886003;2544723;648436;369292;643734;170594;211547;403868;164352;12854995
"Tríplice Viral (homens campanha) (SCR)";1704;1848;16668;11134;18465;48;618;647936;3031;26407;244556;23019;13878;21760;-;12652;1640659;355;1202632;22837;3401;1029;14184;9810;254495;296;-;4193422
"Tríplice Viral (homens) (SCR)";50681;11589;352282;93280;199898;14116;157872;202869;48400;258668;24860;136862;279083;2285667;19799;345381;592838;156462;368088;2795185;289210;305205;197262;162063;140818;184555;128023;9801016
"Tríplice Viral (implantação) (SRC)";375198;176226;922995;97144;1848704;147291;335714;2310;276;-;370;-;2022623;1428102;-;-;-;97;40441;15561;-;-;-;12257;15497;-;136693;7577499
"Tríplice Viral (mulheres idade fértil camp) (SCR)";1798;1899;16921;11277;15977;42;510;682066;3146;30613;264279;24996;15096;23253;-;13038;1721179;384;1284222;20744;3654;1256;15813;12378;271670;614;-;4436825
"Tríplice Viral (mulheres idade fértil) (SCR)";98457;42286;655593;221446;325923;43914;331343;553461;168478;1010822;69870;396676;781362;206324;154956;1259387;1858792;314264;1131894;4874044;665243;611647;423472;264536;252128;380398;530031;17626747
"Tríplice Viral (seguimento) (SRC)";-;3483;4513;-;-;-;-;978;236819;647103;238315;-;557;-;1227;1502925;1350422;242901;919059;2338471;34146;382775;679658;170330;221961;-;152475;9128118
"Imunoglobulina humana anti-Hepatite B (IGHAHB)";2700;4253;4707;373;3449;455;495;5199;5501;783;1689;829;1503;3403;2742;7175;18726;2688;66347;58164;10095;10703;5821;5762;3434;10052;11197;248245
"Imunoglobulina humana anti-Rábica (IGHR)";1820;153;329;190;4643;994;565;3538;3245;7502;2829;1988;12709;3037;510;10100;6298;1493;7617;20652;2752;2925;5445;3578;611;7805;4120;117448
"Imunoglobulina humana anti-Tetânica (IGHAT)";825;212;2730;41;544;380;180;1476;1580;3890;2482;15593;13449;2960;10074;3278;7341;312;14998;33100;15197;11089;1393;2622;1214;8207;9081;164248
"Imunoglobulina humana anti-Varicela Zóster (IGHVZ)";420;359;1038;396;2029;450;208;947;991;215;1096;405;556;243;266;1470;2341;1137;15908;16015;2520;2871;3187;531;791;661;2877;59928
"Soro anti-Aracnídico (AC)";1258;130;1409;359;5898;815;427;952;603;415;245;247;400;360;572;1020;8964;1255;3889;9546;7661;11843;9077;565;2135;952;46;71043
"Soro anti-Botrópico (BO)";22872;5048;42092;8266;173643;23561;20885;34755;4946;11004;10293;8399;15519;4874;7372;34196;76334;58715;25667;58047;25808;20462;58589;21119;55406;13916;1034;842822
"Soro anti-Botrópico-Crotálico (BC)";1940;740;693;3018;6307;2896;2576;5256;2814;3716;4259;3247;5287;1191;2012;2323;5294;2342;1325;5324;1231;1070;2461;1792;10596;4512;193;84415
"Soro anti-Botrópico-Laquético (BL)";6272;3058;31301;4241;30575;7270;1062;2336;145;1138;561;264;1446;777;637;1160;1061;280;597;793;122;97;371;202;6762;173;47;102748
"Soro anti-Botulínico (BTU)";122;9;38;73;974;219;93;1014;40;18;144;85;446;8;70;231;193;240;170;387;132;96;1949;304;157;83;33;7328
"Soro anti-Crotálico (CR)";915;154;266;2834;3072;491;4501;14597;3543;1781;1938;1830;5056;1251;1301;4157;23890;210;967;13762;6109;202;486;3914;5388;5122;419;108156
"Soro anti-Diftérico (SAD)";327;21;69;65;435;318;107;128;70;717;205;654;631;312;70;361;215;45;410;712;225;139;298;113;207;664;14;7532
"Soro anti-Elapídico (LP)";394;16;283;376;617;43;224;619;439;413;221;584;1375;1150;665;589;817;36;433;1364;147;338;186;158;456;233;24;12200
"Soro anti-Escorpiônico (ES)";2116;498;2921;455;26003;5773;3063;4179;6274;1937;532;1495;2141;2667;2644;18212;49100;14538;4251;13177;1080;525;78;1080;9467;3127;401;177734
"Soro anti-Laquético";22;83;22;1;46;26;17;16;-;7;29;15;-;-;-;3;20;-;-;5;-;-;-;1;26;-;-;339
"Soro anti-Latrodectus (LT)";3;-;7;47;121;15;4;33;3;-;144;5;-;19;-;31;54;1;2;11;-;12;10;-;-;5;-;527
"Soro anti-Lonomia (LN)";128;-;30;33;71;109;31;25;3;-;23;15;-;81;23;155;50;13;109;206;990;2292;1962;-;7;17;-;6373
"Soro anti-Loxocélico (LX)";21;-;-;18;10;31;2;45;9;119;1;-;-;114;-;177;194;10;20;37;5015;5376;3653;-;82;39;2;14975
"Soro anti-Rábico (RB)";21826;2546;6843;1121;58065;5911;6027;23510;9014;43696;10043;26625;63013;20178;16508;29308;46353;24213;74850;173321;20173;18422;8259;12094;16127;118273;9621;865940
"Soro anti-Tetânico (SAT)";10389;4281;1049;918;6109;1535;2949;25639;5098;4896;14714;96013;41332;31068;129405;14048;10061;1890;16976;37638;16194;14666;7988;8352;16493;65887;681;586269
"Cólera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Esq.Seq. VIP/VOP";402549;115173;858942;153203;1012903;185451;184142;1294398;370460;1745794;563057;577131;2028116;687800;356554;2451735;2112414;654197;2827509;7602751;1224242;930949;1091326;461142;594025;808018;640750;31934731
"Penta inativada (DTPa/Hib/Vip)";548;329;1633;389;556;34;33;1904;202;12726;3289;759;2628;2031;592;8920;7015;6072;16745;133057;17489;10269;8414;4342;1333;11262;11207;263778
"Tetraviral (sarampo, rubéola, caxumbae varicela)";110699;45575;279300;42892;353405;57492;87640;248025;82414;327965;100021;106468;321558;120456;72288;445599;451383;118651;497291;1235764;547745;341276;476240;166797;196118;325043;182756;7340861
"HPV Quadrivalente - Feminino";235324;134525;509039;100680;1072368;132617;224777;1076586;411108;1408541;391267;526532;1386630;535738;307379;1677157;2591075;526208;2025595;5204438;1313564;828048;1191512;374203;431929;851468;296394;25764702
"HPV Quadrivalente - Masculino";35873;19790;133794;17058;157030;18921;48925;176003;72139;249750;60563;103932;202187;86623;50478;274224;510425;98515;359034;719475;261806;161023;223700;59600;77494;151198;56388;4385948
"dT/dTpa Gestante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"HEPATITE A, B RECOMBINANTE";52;28;310;96;238;98;46;1681;45;546;386;51;320;828;47;892;1502;4039;7955;50519;2178;1405;2188;703;326;1315;4773;82567
"Rotavírus pentavalente";870;31;2603;156;242;72;4;3542;120;24906;2226;382;927;4222;53;3035;6003;1744;30983;209396;26321;8902;11393;5330;3428;2073;17817;366781
"Quadrupla viral";11;-;-;-;-;-;-;23;-;13;43;-;4;348;-;9;92;490;5436;27754;2017;16;1443;553;300;533;1495;40580
"Meningocócica ACYW1325";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"HPV";7612;6176;143796;2616;24608;1528;4552;17668;13940;30743;9622;9300;21028;12033;4224;73138;86129;8115;24697;186477;47925;33433;36993;16793;11492;29130;16975;880743
"dTpa";48970;22938;133867;18261;195518;24118;45883;173558;73739;249214;65572;86708;246556;81798;52594;293949;456918;97152;363183;737139;289733;164454;236095;78575;95753;173075;89927;4595247
"Total";32243364;17732996;75288013;12029245;151539314;13107913;28735822;134024156;52634681;140117997;46661552;57533999;157514414;56593839;34334575;245532265;307349551;60631822;228251922;599747664;161591026;94303057;149403489;44586596;60394911;112255490;44312876;3118452549
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 16/08/2018
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

