 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Unidade da Federação e Imunobiológicos
Período:1994-2018
"Unidade da Federação";"BCG (BCG)";"BCG - Hanseníase (BCG)";"Febre Amarela (FA)";"Febre Tifóide (FT)";"Haemophilus influenzae tipo b (Hib)";"Hepatite A (HA)";"Hepatite B (HB)";"Hepatite B não soroconversão";"Influenza (INF)";"Influenza (Campanha) (INF)";"Influenza (Gestantes) (INF)";"Meningococo A/C (MnAC)";"Meningococo B/C (MnBC)";"Raiva Humana";"Raiva - Cultivo Celular/Diplóide (RC)";"Raiva - Cultivo Celular/Vero (RV)";"Raiva - Cultivo Celular/Embrionário (RG)";"Rubéola";"Sarampo";"Varicela";"Dupla Adulto (dT)";"Dupla Infantil (DT)";"Dupla Viral (rotina) (SR)";"Dupla Viral (mulheres idade fértil) (SR)";"Dupla Viral (mulheres idade fértil campanha) (SR)";"Dupla Viral (homens) (SR)";"Dupla Viral (homens campanha) (SR)";"Hexavalente (HX)";"Poliomielite inativada (VIP)";"Meningocócica Conjugada - C (MncC)";"Oral Poliomielite (VOP)";"Oral Poliomielite 1ª etapa campanha  (VOP)";"Oral Poliomielite 2ª etapa campanha  (VOP)";"Oral de Rotavírus Humano (VORH)";"Pentavalente (DTP+HB+Hib) (PENTA)";"Pneumocócica 10valente";"Pneumocócica Conjugada 7 Valente (Pnc7)";"Pneumocócica Polissacarídica 23 Valente (Pn23)";"Pneumocócica 13 valente";"Tetravalente (DTP/Hib) (TETRA)";"Toxóide Tetânico";"Tríplice Acelular (DTPa)";"Tríplice Bacteriana (DTP)";"Tríplice Viral (SCR)";"Tríplice Viral (campanha) (SCR)";"Tríplice Viral (homens campanha) (SCR)";"Tríplice Viral (homens) (SCR)";"Tríplice Viral (implantação) (SRC)";"Tríplice Viral (mulheres idade fértil camp) (SCR)";"Tríplice Viral (mulheres idade fértil) (SCR)";"Tríplice Viral (seguimento) (SRC)";"Imunoglobulina humana anti-Hepatite B (IGHAHB)";"Imunoglobulina humana anti-Rábica (IGHR)";"Imunoglobulina humana anti-Tetânica (IGHAT)";"Imunoglobulina humana anti-Varicela Zóster (IGHVZ)";"Soro anti-Aracnídico (AC)";"Soro anti-Botrópico (BO)";"Soro anti-Botrópico-Crotálico (BC)";"Soro anti-Botrópico-Laquético (BL)";"Soro anti-Botulínico (BTU)";"Soro anti-Crotálico (CR)";"Soro anti-Diftérico (SAD)";"Soro anti-Elapídico (LP)";"Soro anti-Escorpiônico (ES)";"Soro anti-Laquético";"Soro anti-Latrodectus (LT)";"Soro anti-Lonomia (LN)";"Soro anti-Loxocélico (LX)";"Soro anti-Rábico (RB)";"Soro anti-Tetânico (SAT)";"Esq.Seq. VIP/VOP";"Penta inativada (DTPa/Hib/Vip)";"Tetraviral (sarampo, rubéola, caxumbae varicela)";"HPV Quadrivalente - Feminino";"HPV Quadrivalente - Masculino";"HEPATITE A, B RECOMBINANTE";"Rotavírus pentavalente";"Quadrupla viral";"HPV";"dTpa";"Total"
"24 Rio Grande do Norte";1433620;10345;313591;438;408635;152910;5465555;27483;197671;3006260;40437;1312;60;97946;231;185311;1990;574254;844432;79883;4880298;12281;74466;64883;494232;2886;444092;2579;283486;1029431;4130144;4797102;4316963;999832;727935;1249515;6402;21784;6054;1596394;1026874;54831;3088907;2201830;216243;244556;24860;370;264279;69870;238315;1689;2829;2482;1096;245;10293;4259;561;144;1938;205;221;532;29;144;23;1;10043;14714;563057;3289;100021;391267;60563;386;2226;43;9622;65572;46661552
"25 Paraíba";1810075;17817;148742;33;521782;194672;6462235;13110;221255;4045534;34499;453;485;282482;88;226601;656;6011;924434;136764;5663855;693;98411;186635;597461;28546;524336;254;480171;1276751;6674991;5041906;5251669;1315108;961500;1580657;5589;23680;424;2002030;961399;60402;3909343;3415876;273475;23019;136862;-;24996;396676;-;829;1988;15593;405;247;8399;3247;264;85;1830;654;584;1495;15;5;15;-;26625;96013;577131;759;106468;526532;103932;51;382;-;9300;86708;57533999
"26 Pernambuco";6346297;59672;788270;206;1338820;519920;16851297;71619;796941;8702633;106709;5682;7574;1100220;11053;1540185;6003;45802;4817684;317279;18909030;2016;235361;327480;1494982;40851;1313325;3329;888084;3360470;15671637;14875665;14188377;3300082;2480648;4127282;2244;139873;8260;4916165;1549041;231531;11239443;6634394;653562;13878;279083;2022623;15096;781362;557;1503;12709;13449;556;400;15519;5287;1446;446;5056;631;1375;2141;-;-;-;-;63013;41332;2028116;2628;321558;1386630;202187;320;927;4;21028;246556;157514414
"27 Alagoas";2175894;9203;208960;947;573115;199585;6365284;14676;174565;2516320;41389;1788;3178;272910;1042;331754;2201;5531;870223;121934;6429566;2203;79189;75541;495991;3103;443161;4831;348464;1198668;5132641;5442508;5034506;1130358;903966;1403354;359;17837;7245;1885598;1106935;59026;3569135;2103200;255279;21760;2285667;1428102;23253;206324;-;3403;3037;2960;243;360;4874;1191;777;8;1251;312;1150;2667;-;19;81;114;20178;31068;687800;2031;120456;535738;86623;828;4222;348;12033;81798;56593839
"28 Sergipe";1060871;7876;452666;90;373489;122446;4277960;4873;122110;1710026;33965;158;-;88166;124;127918;512;-;580206;71249;3576843;84;16658;370400;363415;609;309309;271;247515;798869;3251868;3536078;3422320;799353;559040;990594;3095;21644;173;1154258;401292;41147;2272410;1806566;160997;-;19799;-;-;154956;1227;2742;510;10074;266;572;7372;2012;637;70;1301;70;665;2644;-;-;23;-;16508;129405;356554;592;72288;307379;50478;47;53;-;4224;52594;34334575
"29 Bahia";7022243;43980;17000551;1032;2185062;697659;25814558;86549;1721624;12737150;181168;17381;45183;518767;7161;1285901;6365;4863;3637032;359727;25382580;26854;733672;3543066;2702088;181893;2450742;9964;1270710;5725226;25297395;22014083;19760248;4336776;3087054;5248841;19857;153504;7005;7470389;5096299;259333;16911160;10916044;1063491;12652;345381;-;13038;1259387;1502925;7175;10100;3278;1470;1020;34196;2323;1160;231;4157;361;589;18212;3;31;155;177;29308;14048;2451735;8920;445599;1677157;274224;892;3035;9;73138;293949;245532265
"31 Minas Gerais";9099818;49243;37462080;5035;2748622;1148865;32136670;43118;4481434;20533237;219100;67742;4619;926117;2381;1684194;7449;28294;3582042;878279;30323446;11441;277296;396199;3028399;42893;2883126;15082;2347901;7512180;24429362;25528849;23282646;6049729;4444615;7801864;89616;447747;22695;8537234;217577;367026;16708076;12546998;1285063;1640659;592838;-;1721179;1858792;1350422;18726;6298;7341;2341;8964;76334;5294;1061;193;23890;215;817;49100;20;54;50;194;46353;10061;2112414;7015;451383;2591075;510425;1502;6003;92;86129;456918;307349551
"32 Espírito Santo";1494916;22556;4469614;1095;448517;253170;7414627;32042;690169;3277407;41155;1400;229;181287;1818;257986;626;18;1531541;209478;7216606;1044;47493;111957;591220;9554;560838;10235;405349;1371134;4748079;5165425;4876997;1246812;965253;1647748;20101;99636;17846;1709874;629606;97088;3642171;2527005;244036;355;156462;97;384;314264;242901;2688;1493;312;1137;1255;58715;2342;280;240;210;45;36;14538;-;1;13;10;24213;1890;654197;6072;118651;526208;98515;4039;1744;490;8115;97152;60631822
"33 Rio de Janeiro";8745070;48828;10173656;7253;2454297;971006;25283121;77033;1705216;17649471;119094;116939;9466;1178762;954;1686614;4584;717;2377365;564888;28832766;6490;621699;775282;2269159;47655;2082628;37053;1585521;5318996;18824782;18268059;17196551;4950465;4029083;5942547;70932;249665;85778;6802826;621561;294537;14256476;9681774;886003;1202632;368088;40441;1284222;1131894;919059;66347;7617;14998;15908;3889;25667;1325;597;170;967;410;433;4251;-;2;109;20;74850;16976;2827509;16745;497291;2025595;359034;7955;30983;5436;24697;363183;228251922
"35 São Paulo";15845246;60770;24236545;92050;6757349;3270145;74410930;160223;12290844;39502774;637356;396884;10846;732690;321385;2572381;11460;4513;5664636;2991907;65968551;15286;374559;3362078;6733101;56803;6438671;227221;4321578;15460921;52484253;49236632;48629127;13435742;9935171;17335467;675065;1949364;619112;18509315;83076;1834014;34423508;28507519;2544723;22837;2795185;15561;20744;4874044;2338471;58164;20652;33100;16015;9546;58047;5324;793;387;13762;712;1364;13177;5;11;206;37;173321;37638;7602751;133057;1235764;5204438;719475;50519;209396;27754;186477;737139;599747664
"41 Paraná";4107745;23586;13556446;1460;1573360;709233;20343274;33265;2951858;10086938;124798;6813;8590;417054;650;937684;2912;1044307;1685445;288354;18283730;3055;123911;217574;1651689;45390;1569540;30147;1474635;3982892;12943782;13386295;11794048;3504250;2688655;4543860;60429;209414;60562;4763763;354010;212135;9473220;6817707;648436;3401;289210;-;3654;665243;34146;10095;2752;15197;2520;7661;25808;1231;122;132;6109;225;147;1080;-;-;990;5015;20173;16194;1224242;17489;547745;1313564;261806;2178;26321;2017;47925;289733;161591026
"42 Santa Catarina";2342275;8789;2596071;1337;787236;457194;11563444;52682;2927366;5713394;102307;2301;276;114610;489;179989;419;12127;1425910;196630;11500427;642;128316;1212852;982964;6448;980014;24081;752594;2342738;7646350;7609158;7262144;2064357;1624422;2764620;63545;222857;37662;2613082;992860;169649;6551770;4010552;369292;1029;305205;-;1256;611647;382775;10703;2925;11089;2871;11843;20462;1070;97;96;202;139;338;525;-;12;2292;5376;18422;14666;930949;10269;341276;828048;161023;1405;8902;16;33433;164454;94303057
"43 Rio Grande do Sul";5331276;14878;7529904;3161;1195430;597219;15931315;29864;3800950;12885452;85108;4512;1603;196785;4664;483986;1715;1762;1787423;198261;14622989;1233;396304;1329728;1640971;42080;1501220;23693;1291661;3293209;11996142;14431603;13682471;2997223;2407028;3763866;49252;178163;33809;4216746;1116551;177179;8977275;5783185;643734;14184;197262;-;15813;423472;679658;5821;5445;1393;3187;9077;58589;2461;371;1949;486;298;186;78;-;10;1962;3653;8259;7988;1091326;8414;476240;1191512;223700;2188;11393;1443;36993;236095;149403489
"50 Mato Grosso do Sul";1257729;6783;4359181;1821;412973;203378;5096187;15996;922014;1984756;33938;3266;99;90313;916;211594;670;-;392515;142238;4691907;2593;109431;556090;381657;8983;360196;7788;387280;1112457;3453029;3642794;3223580;1007597;812637;1338528;13580;142319;14721;1272768;607319;71650;2320333;1878799;170594;9810;162063;12257;12378;264536;170330;5762;3578;2622;531;565;21119;1792;202;304;3914;113;158;1080;1;-;-;-;12094;8352;461142;4342;166797;374203;59600;703;5330;553;16793;78575;44586596
"51 Mato Grosso";2188754;48416;6499749;697;433728;213252;6706255;23397;535163;2050146;40946;10337;1;238279;1344;305041;920;8738;1031080;69716;6674912;3025;79868;364005;452469;34048;447004;4195;423135;1253435;6903226;4178182;3894857;1123838;927443;1432087;8188;51248;6594;1603290;1044123;69751;3468038;2632318;211547;254495;140818;15497;271670;252128;221961;3434;611;1214;791;2135;55406;10596;6762;157;5388;207;456;9467;26;-;7;82;16127;16493;594025;1333;196118;431929;77494;326;3428;300;11492;95753;60394911
"52 Goiás";3070045;71734;13000676;1249;869106;431183;10034084;29590;730756;5056350;59589;13154;3083;767218;9004;709615;2342;7046;1606251;146063;18923312;1854;121178;303695;1045183;43428;959155;21880;863379;2359940;8362049;9025044;8452409;2039214;1663092;2613279;68311;92223;47821;2825417;1925522;138810;5780378;4398205;403868;296;184555;-;614;380398;-;10052;7805;8207;661;952;13916;4512;173;83;5122;664;233;3127;-;5;17;39;118273;65887;808018;11262;325043;851468;151198;1315;2073;533;29130;173075;112255490
"53 Distrito Federal";1194960;7996;5534135;5432;670149;247180;5731966;18534;523170;1740163;40347;1347;572;314344;2498;339975;681;9145;118308;96155;4237525;764;6644;11796;462379;2768;428507;19544;258310;1104265;3358283;3253554;2989556;1008757;765937;1213914;54271;258451;42110;1345795;16149;120328;2386442;1899924;164352;-;128023;136693;-;530031;152475;11197;4120;9081;2877;46;1034;193;47;33;419;14;24;401;-;-;-;2;9621;681;640750;11207;182756;296394;56388;4773;17817;1495;16975;89927;44312876
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";97597754;866313;198484871;126781;29755698;12533615;352676089;936223;39425536;180107887;2410909;719686;921641;9478900;385854;16756450;60625;1826399;45960454;7971866;342302155;159223;6190146;17907029;30766830;1051564;28550277;471216;22354504;71924236;281241318;262955072;250989874;63963335;49132902;80276775;1257781;4775686;1088750;93651257;30627377;4921910;193204166;134932785;12854995;4193422;9801016;7577499;4436825;17626747;9128118;248245;117448;164248;59928;71043;842822;84415;102748;7328;108156;7532;12200;177734;339;527;6373;14975;865940;586269;31934731;263778;7340861;25764702;4385948;82567;366781;40580;880743;4595247;3118452549
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 16/08/2018
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

