 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Imunobiológicos e Ano/mês
Período:1994-2018
"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"Total"
"Influenza (Gestantes) (INF)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;2;65;190;60;213;64;41;22;324;79;28;17;43;308;382;337;454;108;72;80;62;57;52;174;13;209;1314;1655;834;364;151;193;106;45;45;26;122;357;1207;683;544;451;228;272;183;239;34;73;1062;304;2307;94;323;309;250;398;342;293;262;257;346;5477;9715;7693;6038;7666;6574;5158;1466;79;338;87;363;508;12524;12966;18184;28205;27513;27972;27568;19756;12438;3707;356;18512;213240;468161;483884;168803;139491;36433;27992;35960;12101;1763;818;10173;17683;12846;18279;25572;31846;33825;26558;17878;7190;940;315;1541;14669;7846;11320;15381;30548;31617;30772;25603;1746;1133;977;9201;7500;2294;3880;4997;4860;4493;4738;3742;2207;1145;835;14221;19795;5883;4287;5013;4254;4491;4588;3434;3673;1984;1440;12512;23411;5634;1442;2410909
"Influenza A - H1N1";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Influenza A - H1N1 (gestantes)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Meningococo A/C (MnAC)";-;-;-;-;-;-;-;10;9;1;876;918;19084;931;1854;1144;1566;1032;514;78235;1887;529;633;341;404;562;709;807;429;613;435;851;529;466;298;336;343;358;299;47082;1253;278;4645;540;539;626;332;343;378;9572;506;554;475;6407;496;521;592;397;38398;436;336;669;628;290;1723;16670;583;606;422;270;373;7471;1077;307;1745;1258;490;380;217;246;429;808;4550;1086;412;16279;510;571;358;782;450;2785;2655;5132;209;187;208;122;147;262;377;627;445;512;4485;15528;1307;734;856;766;785;411;816;11121;25662;1017;3448;125;62;256;380;123;353;123;992;1252;386;161;127;38;152;81;88;127;65;178;510;743;1257;1010;2302;2502;1731;1327;1981;1821;2096;1707;2653;2354;1753;1838;1328;1489;892;411;961;349;338;418;138;294;198;204;180;355;536;535;791;472;520;284;1437;1408;1312;345;209;140;116;97;400;297;232;135;84;423532
"Meningococo B/C (MnBC)";-;-;-;-;-;-;-;-;-;-;488;386;484;440;478;229;433;326;192;199;178;352;363;189;217;373;312;310;288;473;879;237;312;241;285;125;119;126;138;258;496;209;224;230;179;166;184;152;138;166;150;158;217;170;136;78;104;78;173;205;1025;52;118;79;71;110;157;15;71;56;17;5;7;-;-;-;1;1;-;-;1;-;-;-;-;-;-;112;124;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15069
"Raiva Humana";12549;21179;29657;29224;49252;30036;42023;53689;41319;10851;10990;10362;7541;6317;4371;4302;3176;2516;2039;1447;1372;1417;83;80;107;122;72;69;67;78;39;33;40;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;376478
"Raiva - Cultivo Celular/Diplóide (RC)";-;-;-;-;-;-;-;15;280;-;-;-;-;-;-;-;30538;13889;6463;3095;1912;1073;85;44;45;666;56;55;333;325;269;346;439;480;73;26;28;18;15;13;37;23;28;31;24;5;1;2;8;24;-;13;13;-;2;-;-;-;-;2;-;-;-;-;4;6;1;2;7;-;6;-;-;-;1;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;34;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60897
"Raiva - Cultivo Celular/Vero (RV)";-;-;-;-;-;-;-;-;-;16135;73625;68786;70281;80960;79920;91967;60438;88198;92853;84613;84909;88488;88782;84270;88180;90191;89909;103234;106125;111596;103295;104735;109075;92885;103141;93456;92278;92417;92662;92345;101081;109059;105783;101957;96443;92336;99509;91583;95499;93367;94010;93511;103659;109886;103369;101195;99269;90675;99759;96177;95401;94439;89768;90334;100686;103446;105457;103644;103750;99370;108506;107385;104817;105077;102841;103268;108947;108320;109835;106677;105726;97778;102833;96367;99257;97876;97922;87843;92117;98454;102260;91953;97265;96173;104565;104672;95028;100114;102662;102028;106166;114648;108384;106561;110313;110617;120449;116480;117677;113586;112075;113021;116728;129879;116736;119931;119008;108963;121397;119088;114795;120985;114659;116250;130708;128650;130880;129447;120104;113976;121832;117834;548544;111606;106711;105714;111658;112081;111701;110370;106133;95617;96337;88916;83343;82925;86253;84485;86620;88214;86841;84115;77484;64189;49790;50265;51007;51476;51426;53254;58786;59218;46895;35847;34031;35324;35300;30341;34072;32928;35457;37258;40954;42268;36840;39164;36706;34118;31390;24694;25797;24600;25548;22721;10581;16192477
"Raiva - Cultivo Celular/Embrionário (RG)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;12;-;-;-;8;4;-;-;4;1;-;2;-;-;-;-;-;-;1;9;-;-;25;18;10;-;-;-;-;-;-;-;2;1;1;-;-;-;8;11;3;12;1;16;28;3;10;5;2;9;20;4;1;9;4;3;8;18;-;18;7;11;10;9;-;21;-;1540;1899;1970;1927;2159;2221;2118;1913;3116;2206;1805;1493;1793;1789;1409;1523;1195;1331;1257;1533;1179;1599;969;1089;1319;847;1042;1313;1121;988;632;317;688;679;421;436;777;379;933;229;137;152;430;284;565;341;138;382;288;747;219;260;720;280;190;774;616;141;263;117;69;60625
"Rubéola";-;-;-;-;-;-;21032;-;-;-;1594;605;195;841;104;242;63;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24730
"Sarampo";105934;208232;98230;180502;113572;128657;97360;49340;43762;3765;158;427;242;477;189;507;97;1151;38;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1032673
"Varicela";-;-;-;-;-;-;-;5948;1488;479;4934;3902;5425;3705;4843;4292;3828;5840;8709;11085;11358;10187;5146;5083;5391;9988;6358;9176;8495;14942;26468;28641;19506;13846;6181;5926;6823;6779;11646;12499;13970;25938;32764;27662;19124;14477;10699;12229;11300;14027;21563;19937;19978;23271;37980;36283;27119;17702;11233;12352;12408;13020;20163;19183;17579;27322;32508;31573;35255;21972;12128;11861;19274;22492;25377;24996;18138;17768;23992;22765;22290;16687;11869;10811;16261;11349;14138;16862;20813;31063;43415;28197;27231;18080;15203;12081;12630;12764;14288;16470;22170;31470;39476;39367;32748;22520;18851;16370;18857;18048;27706;71798;57986;80107;47472;43111;41204;22373;20009;21522;21260;19445;22575;28111;30438;31273;42240;48458;42064;24571;22975;19754;16869;17132;26279;47187;72765;56032;38781;29577;26204;18635;20001;17238;19495;17388;18011;17906;27616;71837;32263;30988;62362;73398;92171;85700;118083;127863;119920;126991;146049;153873;345548;116518;128014;105054;139858;108913;133129;109947;75945;33295;24139;54060;204351;144914;152507;128004;204233;159858;224841;249748;259533;190991;115352;7684496
